ACCIONA
ACERINOX
ACS
AENA
AMADEUS IT
ARCELOR MITTAL
BANCO SABADELL
BANCO SANTANDER
BANKIA SA
BANKINTER
BBVA
CAIXABANK
CELLNEX TELECOM
CIE AUTOMOTIVE
DIA
ENAGAS
ENDESA
FERROVIAL
GAS NATURAL
GRIFOLS
IBERIA
IBERDROLA
INDITEX
INDRA SISTEMAS
INM.COLONIAL, S.A.
MAPFRE
MEDIASET
MELIA
MERLIN
RED ELECTRICA
REPSOL
SIEMENS GAMESA
TECNICAS REUNIDAS
TELEFONICA
VISCOFAN

